Site,Order,Family,Genera,Taxa,Time_Period,Period_Biomass,Mean_Annual_Biomass,PB,Production,Community_PB
Antelope Creek,Annelida,,,Oligochaeta,Period 1,3.49,21.17,3.47,73.42,5.19
Antelope Creek,Annelida,,,Oligochaeta,Period 2,4.22,21.17,3.47,73.42,5.19
Antelope Creek,Annelida,,,Oligochaeta,Period 3,4.61,21.17,3.47,73.42,5.19
Antelope Creek,Annelida,,,Oligochaeta,Period 4,16.18,21.17,3.47,73.42,5.19
Antelope Creek,Annelida,,,Oligochaeta,Period 5,0,21.17,3.47,73.42,5.19
Antelope Creek,Annelida,,,Oligochaeta,Period 6,7.83,21.17,3.47,73.42,5.19
Antelope Creek,Coleoptera,Curculionidae,,Curculionidae Adult,Period 1,0,3.86,5,19.31,5.19
Antelope Creek,Coleoptera,Curculionidae,,Curculionidae Adult,Period 2,23.18,3.86,5,19.31,5.19
Antelope Creek,Coleoptera,Curculionidae,,Curculionidae Adult,Period 3,0,3.86,5,19.31,5.19
Antelope Creek,Coleoptera,Curculionidae,,Curculionidae Adult,Period 4,0,3.86,5,19.31,5.19
Antelope Creek,Coleoptera,Curculionidae,,Curculionidae Adult,Period 5,0,3.86,5,19.31,5.19
Antelope Creek,Coleoptera,Curculionidae,,Curculionidae Adult,Period 6,0,3.86,5,19.31,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae,Period 1,0,0.3,5,1.49,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae,Period 2,0,0.3,5,1.49,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae,Period 3,1.78,0.3,5,1.49,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae,Period 4,0,0.3,5,1.49,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae,Period 5,0,0.3,5,1.49,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae,Period 6,0,0.3,5,1.49,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae Adult,Period 1,35.15,1.92,5,9.59,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae Adult,Period 2,2.72,1.92,5,9.59,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae Adult,Period 3,0,1.92,5,9.59,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae Adult,Period 4,0,1.92,5,9.59,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae Adult,Period 5,0,1.92,5,9.59,5.19
Antelope Creek,Coleoptera,Dytiscidae,,Dytiscidae Adult,Period 6,0,1.92,5,9.59,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda,Period 1,88.24,24.32,3.58,86.95,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda,Period 2,16.66,24.32,3.58,86.95,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda,Period 3,20.4,24.32,3.58,86.95,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda,Period 4,4.95,24.32,3.58,86.95,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda,Period 5,61.39,24.32,3.58,86.95,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda,Period 6,0,24.32,3.58,86.95,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda Adult,Period 1,88.48,3.69,5,18.43,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda Adult,Period 2,0,3.69,5,18.43,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda Adult,Period 3,0,3.69,5,18.43,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda Adult,Period 4,0,3.69,5,18.43,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda Adult,Period 5,0,3.69,5,18.43,5.19
Antelope Creek,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda Adult,Period 6,0,3.69,5,18.43,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius,Period 1,141.05,41.63,4.24,176.39,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius,Period 2,29.3,41.63,4.24,176.39,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius,Period 3,41.14,41.63,4.24,176.39,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius,Period 4,52.47,41.63,4.24,176.39,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius,Period 5,59.63,41.63,4.24,176.39,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius,Period 6,4.04,41.63,4.24,176.39,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius Adult,Period 1,0,1.81,5,9.05,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius Adult,Period 2,3.01,1.81,5,9.05,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius Adult,Period 3,4.22,1.81,5,9.05,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius Adult,Period 4,3.62,1.81,5,9.05,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius Adult,Period 5,0,1.81,5,9.05,5.19
Antelope Creek,Coleoptera,Elmidae,Heterlimnius,Heterlimnius Adult,Period 6,0,1.81,5,9.05,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus,Period 1,29.17,10.9,5,54.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus,Period 2,30.88,10.9,5,54.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus,Period 3,27.24,10.9,5,54.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus,Period 4,0,10.9,5,54.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus,Period 5,0,10.9,5,54.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus,Period 6,0,10.9,5,54.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus Adult,Period 1,0,0.7,5,3.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus Adult,Period 2,2.72,0.7,5,3.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus Adult,Period 3,1.51,0.7,5,3.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus Adult,Period 4,0,0.7,5,3.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus Adult,Period 5,0,0.7,5,3.52,5.19
Antelope Creek,Coleoptera,Elmidae,Optioservus,Optioservus Adult,Period 6,0,0.7,5,3.52,5.19
Antelope Creek,Coleoptera,Elmidae,Zaitzevia,Zaitzevia,Period 1,0,2.99,5,14.94,5.19
Antelope Creek,Coleoptera,Elmidae,Zaitzevia,Zaitzevia,Period 2,0,2.99,5,14.94,5.19
Antelope Creek,Coleoptera,Elmidae,Zaitzevia,Zaitzevia,Period 3,3.88,2.99,5,14.94,5.19
Antelope Creek,Coleoptera,Elmidae,Zaitzevia,Zaitzevia,Period 4,14.05,2.99,5,14.94,5.19
Antelope Creek,Coleoptera,Elmidae,Zaitzevia,Zaitzevia,Period 5,0,2.99,5,14.94,5.19
Antelope Creek,Coleoptera,Elmidae,Zaitzevia,Zaitzevia,Period 6,0,2.99,5,14.94,5.19
Antelope Creek,Coleoptera,Elmidae,,Elmidae,Period 1,0,2.53,5,12.64,5.19
Antelope Creek,Coleoptera,Elmidae,,Elmidae,Period 2,0,2.53,5,12.64,5.19
Antelope Creek,Coleoptera,Elmidae,,Elmidae,Period 3,0,2.53,5,12.64,5.19
Antelope Creek,Coleoptera,Elmidae,,Elmidae,Period 4,4.38,2.53,5,12.64,5.19
Antelope Creek,Coleoptera,Elmidae,,Elmidae,Period 5,4.34,2.53,5,12.64,5.19
Antelope Creek,Coleoptera,Elmidae,,Elmidae,Period 6,1.67,2.53,5,12.64,5.19
Antelope Creek,Coleoptera,Hydraenidae,,Hydraenidae Adult,Period 1,0,0.5,5,2.51,5.19
Antelope Creek,Coleoptera,Hydraenidae,,Hydraenidae Adult,Period 2,0,0.5,5,2.51,5.19
Antelope Creek,Coleoptera,Hydraenidae,,Hydraenidae Adult,Period 3,3.01,0.5,5,2.51,5.19
Antelope Creek,Coleoptera,Hydraenidae,,Hydraenidae Adult,Period 4,0,0.5,5,2.51,5.19
Antelope Creek,Coleoptera,Hydraenidae,,Hydraenidae Adult,Period 5,0,0.5,5,2.51,5.19
Antelope Creek,Coleoptera,Hydraenidae,,Hydraenidae Adult,Period 6,0,0.5,5,2.51,5.19
Antelope Creek,Coleoptera,,,Coleoptera,Period 1,0,3.63,5,18.14,5.19
Antelope Creek,Coleoptera,,,Coleoptera,Period 2,21.77,3.63,5,18.14,5.19
Antelope Creek,Coleoptera,,,Coleoptera,Period 3,0,3.63,5,18.14,5.19
Antelope Creek,Coleoptera,,,Coleoptera,Period 4,0,3.63,5,18.14,5.19
Antelope Creek,Coleoptera,,,Coleoptera,Period 5,0,3.63,5,18.14,5.19
Antelope Creek,Coleoptera,,,Coleoptera,Period 6,0,3.63,5,18.14,5.19
Antelope Creek,Diptera,Ceratopogonidae,,Ceratopogoninae,Period 1,0,5.16,5,25.82,5.19
Antelope Creek,Diptera,Ceratopogonidae,,Ceratopogoninae,Period 2,2.86,5.16,5,25.82,5.19
Antelope Creek,Diptera,Ceratopogonidae,,Ceratopogoninae,Period 3,6.06,5.16,5,25.82,5.19
Antelope Creek,Diptera,Ceratopogonidae,,Ceratopogoninae,Period 4,4.4,5.16,5,25.82,5.19
Antelope Creek,Diptera,Ceratopogonidae,,Ceratopogoninae,Period 5,9.97,5.16,5,25.82,5.19
